"","UKPRN","N","V2"
"1",10005553,248,"Royal Holloway, University of London "
"2",10005553,248,"Royal Holloway, University of London"
"3",10005553,248,"Royal Holloway and Bedford New College"
"4",10007167,248,"University of York"
"5",10007167,248,"The University of York"
"6",10007774,118,"University of Oxford"
"7",10007775,222,"Queen Mary University of London"
"8",10007784,248,"University College London"
"9",10007788,92,"University of Cambridge"
"10",10007792,248,"University of Exeter"
"11",10007794,247,"University of Glasgow"
"12",10007795,226,"University of Leeds"
"13",10007795,226,"The University of Leeds"
"14",10007803,247,"University of St Andrews"
"15",10007850,248,"University of Bath"
"16",10007850,248,"The University of Bath"
